trade_id,ticker,strategy,direction,entry_time,entry_price,shares,exit_time,exit_price,exit_reason,stop,target,hmm_state,gross_pnl,net_pnl,total_costs,limiting_factor
41cef58d,AVGO,TREND_FOLLOW,LONG,2021-03-25 14:50:00,46.126,227,2021-03-30 09:30:00,46.388,MAX_HOLD,44.35,49.69,Normal,59.4740000000001,54.9939734000001,4.4800265999999995,KELLY_CRITERION
955ef017,AAPL,TREND_FOLLOW,SHORT,2021-03-26 14:00:00,119.81,87,2021-03-31 09:30:00,121.65,MAX_HOLD,122.96,113.5,Normal,-160.0800000000003,-164.4422551250003,4.362255125000001,KELLY_CRITERION
02e436c1,AMD,TREND_FOLLOW,SHORT,2021-03-26 14:00:00,76.5301,137,2021-03-31 09:30:00,76.57,MAX_HOLD,79.3,70.99,Normal,-5.466299999998455,-9.932523974998453,4.466223974999999,KELLY_CRITERION
2456d6b9,CVX,TREND_FOLLOW,LONG,2021-04-01 14:00:00,105.385,99,2021-04-06 09:30:00,104.25,MAX_HOLD,102.8,110.55,Normal,-112.3650000000005,-116.3272625000005,3.9622625,KELLY_CRITERION
2f4e2389,TSLA,TREND_FOLLOW,LONG,2021-04-06 14:00:00,230.8733,45,2021-04-12 09:30:00,228.5667,MAX_HOLD,218.66,255.3,Normal,-103.79700000000014,-107.74692552500014,3.9499255250000003,KELLY_CRITERION
83645bff,MS,TREND_FOLLOW,LONG,2021-04-06 14:00:00,79.06,132,2021-04-12 09:30:00,80.95,MAX_HOLD,76.9,83.37,Normal,249.48000000000008,245.27811000000008,4.201890000000001,KELLY_CRITERION
11fd69f8,COST,TREND_FOLLOW,LONG,2021-04-08 14:00:00,361.321,29,2021-04-13 09:30:00,365.34,MAX_HOLD,354.26,375.44,Normal,116.55099999999851,112.49279899999851,4.0582009999999995,KELLY_CRITERION
e836c00f,AAPL,TREND_FOLLOW,SHORT,2021-04-20 14:00:00,132.82,79,2021-04-26 09:30:00,134.83,MAX_HOLD,135.53,127.39,Normal,-158.79000000000153,-163.17637267500152,4.386372675000001,KELLY_CRITERION
f0f90383,GOOGL,TREND_FOLLOW,LONG,2021-04-20 14:00:00,114.075,92,2021-04-26 09:30:00,115.226,MAX_HOLD,111.96,118.31,Normal,105.89199999999965,101.83172279999965,4.0602772,KELLY_CRITERION
972c7681,INTU,TREND_FOLLOW,LONG,2021-04-21 14:00:00,408.87,25,2021-04-26 09:30:00,414.44,MAX_HOLD,400.16,426.29,Normal,139.24999999999983,135.27364999999983,3.97635,KELLY_CRITERION
2c69eff2,AAPL,TREND_FOLLOW,SHORT,2021-04-27 14:00:00,134.375,78,2021-04-29 09:30:00,136.98,STOP_HIT,136.98,129.17,Normal,-203.1899999999992,-207.5885860999992,4.398586099999999,KELLY_CRITERION
5b61cb3b,INTU,TREND_FOLLOW,SHORT,2021-04-27 14:00:00,415.05,25,2021-05-03 09:30:00,414.79,MAX_HOLD,423.55,398.05,Normal,6.499999999999773,2.2305443749997726,4.269455625,KELLY_CRITERION
e8267b38,AMD,ORB,SHORT,2021-04-28 09:55:00,86.3593,195,2021-04-28 15:55:00,84.02,EOD,89.2,80.68,Normal,456.1635000000017,449.2580527500017,6.90544725,KELLY_CRITERION
e814e292,EBAY,PE_SHORT,SHORT,2021-04-29 09:30:00,57.29,349,2021-04-30 15:55:00,55.8,EOD,59.19,53.48,Normal,520.0100000000007,511.5904345000007,8.4195655,POSITION_LIMIT
bda6fcca,NOW,PE_SHORT,SHORT,2021-04-29 09:30:00,104.2,186,2021-04-30 15:55:00,101.274,EOD,108.22,96.17,Normal,544.2360000000003,536.4377760900003,7.79822391,VOLATILITY_TARGET
71179e19,MSFT,TREND_FOLLOW,SHORT,2021-05-10 14:00:00,249.5,42,2021-05-12 10:45:00,240.16,TARGET_HIT,254.17,240.16,Normal,392.28000000000014,388.1140732000001,4.165926799999999,KELLY_CRITERION
2af8b24d,AAPL,TREND_FOLLOW,SHORT,2021-05-10 14:10:00,127.71,82,2021-05-12 14:15:00,122.26,TARGET_HIT,130.44,122.26,Normal,446.89999999999907,442.74945169999904,4.1505483000000005,KELLY_CRITERION
7aad7251,INTC,TREND_FOLLOW,SHORT,2021-05-10 14:10:00,56.2,186,2021-05-17 09:30:00,55.29,MAX_HOLD,56.91,53.24,Normal,169.26000000000067,164.69054265000068,4.5694573499999995,KELLY_CRITERION
e1774798,SPY,STRESS_ORB,SHORT,2021-05-17 09:50:00,414.69,15,2021-05-17 15:55:00,415.54,EOD,416.39,411.29,Stress,-12.750000000000341,-16.39088525000034,3.6408852499999997,KELLY_CRITERION
f05ee3ee,IWM,STRESS_ORB,SHORT,2021-05-17 09:50:00,218.56,28,2021-05-17 15:00:00,220.65,STOP_HIT,220.65,214.38,Stress,-58.520000000000095,-62.134460500000095,3.6144604999999994,KELLY_CRITERION
a99319a2,JPM,TREND_FOLLOW,LONG,2021-05-17 14:00:00,164.59,31,2021-05-19 09:50:00,159.82,STOP_HIT,159.82,174.13,Stress,-147.87000000000032,-150.69721000000033,2.82721,KELLY_CRITERION
b49db789,NVDA,ORB,LONG,2021-05-24 10:15:00,15.4965,1091,2021-05-24 15:55:00,15.612,EOD,15.176,16.14,Normal,126.0105000000009,119.0490578000009,6.9614422000000005,KELLY_CRITERION
80059cee,MU,TREND_FOLLOW,LONG,2021-05-24 14:00:00,83.33,126,2021-05-25 11:15:00,80.47,STOP_HIT,80.47,89.05,Normal,-360.3599999999999,-364.3497269999999,3.9897269999999994,KELLY_CRITERION
9ee6f614,AMGN,TREND_FOLLOW,SHORT,2021-05-24 14:40:00,248.665,42,2021-05-26 09:50:00,239.87,TARGET_HIT,253.06,239.87,Normal,369.3899999999995,365.22867114999946,4.16132885,KELLY_CRITERION
540369b5,MU,ORB,SHORT,2021-06-18 09:55:00,77.5817,218,2021-06-18 15:55:00,76.95,EOD,79.2835,74.18,Normal,137.71059999999892,130.5724897499989,7.13811025,KELLY_CRITERION
e0584a15,MS,ORB,SHORT,2021-06-18 10:05:00,85.245,198,2021-06-18 15:55:00,84.09,EOD,86.9,81.94,Normal,228.69000000000023,221.67308295000024,7.01691705,KELLY_CRITERION
8e34bbc4,MSFT,TREND_FOLLOW,LONG,2021-06-18 14:00:00,260.87,40,2021-06-23 09:30:00,265.99,MAX_HOLD,256.9,268.82,Normal,204.80000000000018,200.72614000000019,4.07386,KELLY_CRITERION
031a20f1,AAPL,TREND_FOLLOW,SHORT,2021-06-25 14:00:00,132.99,78,2021-06-28 09:45:00,135.0,STOP_HIT,135.0,128.97,Normal,-156.7799999999993,-161.12028499999928,4.340285000000001,KELLY_CRITERION
2035aee9,MSFT,TREND_FOLLOW,LONG,2021-06-25 14:00:00,265.2,39,2021-06-30 09:30:00,270.69,MAX_HOLD,261.65,272.3,Normal,214.11000000000035,210.06508150000036,4.0449185,KELLY_CRITERION
7b04df67,V,TREND_FOLLOW,LONG,2021-06-25 14:00:00,237.62,44,2021-06-28 10:25:00,234.55,STOP_HIT,234.55,243.76,Normal,-135.0799999999997,-139.0420699999997,3.9620700000000006,KELLY_CRITERION
